Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,1944
Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,1944
Best Director - Motion Picture,Henry King,1944
Picture,The Song Of Bernadette,1944
Actress In A Leading Role,Jennifer Jones,1944
Actor In A Leading Role,Paul Lukas,1944
Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,1945
Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,1945
Best Director - Motion Picture,Leo McCarey,1945
Picture,Going My Way,1945
Actress In A Leading Role,Ingrid Bergman,1945
Actor In A Leading Role,Alexander Knox,1945
Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,1946
Best Performance by an Actor in a Supporting Role in any Motion Picture,J. Carroll Naish,1946
Best Director - Motion Picture,Billy Wilder,1946
Promoting International Understanding,Frank Sinatra,1946
Picture,The Lost Weekend,1946
Actress In A Leading Role,Ingrid Bergman,1946
Actor In A Leading Role,Ray Milland,1946
Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,1947
Best Performance by an Actor in a Supporting Role in any Motion Picture,Clifton Webb,1947
Best Director - Motion Picture,Frank Capra,1947
Promoting International Understanding,"Switzerland, Leopold Lindtberg",1947
Special Achievement Award,Harold Russell,1947
Picture,The Best Years Of Our Lives,1947
Actress In A Leading Role,Rosalind Russell,1947
Actor In A Leading Role,Gregory Peck,1947
Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,1948
Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,1948
Best Director - Motion Picture,Elia Kazan,1948
Best Screenplay - Motion Picture,George Seaton,1948
Best Original Score - Motion Picture,Max Steiner,1948
Special Achievement Award,Walt Disney,1948
New Star Of The Year - Actress,Lois Maxwell,1948
New Star Of The Year - Actor,Richard Widmark,1948
Picture,Gentleman's Agreement,1948
Juvenile Performance,Dean Stockwell,1948
Actress In A Leading Role,Rosalind Russell,1948
Actor In A Leading Role,Ronald Colman,1948
Cinematography,Jack Cardiff,1948
Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Corby,1949
Best Performance by an Actor in a Supporting Role in any Motion Picture,Walter Huston,1949
Best Director - Motion Picture,John Huston,1949
Best Screenplay - Motion Picture,Richard Schweizer,1949
Best Original Score - Motion Picture,Brian Easdale,1949
Promoting International Understanding,Fred Zinnemann,1949
Picture,Johnny Belinda,1949
Picture,The Treasure of the Sierra Madre,1949
Juvenile Performance,Ivan Jandl,1949
Actress In A Leading Role,Jane Wyman,1949
Actor In A Leading Role,Laurence Olivier,1949
Foreign Film - English Language,"United Kingdom, Laurence Olivier",1949
Cinematography,Gabriel Figueroa,1949
Best Performance by an Actress in a Supporting Role in any Motion Picture,Mercedes McCambridge,1950
Best Performance by an Actress in a Supporting Role in any Motion Picture,Miriam Hopkins,1950
Best Performance by an Actor in a Supporting Role in any Motion Picture,James Whitmore,1950
Best Performance by an Actor in a Supporting Role in any Motion Picture,David Brian,1950
Best Director - Motion Picture,Robert Rossen,1950
Best Director - Motion Picture,William Wyler,1950
Best Screenplay - Motion Picture,Robert Pirosh,1950
Best Screenplay - Motion Picture,Walter Doniger,1950
Best Motion Picture - Foreign Language,The Bicycle Thief,1950
Best Motion Picture - Foreign Language,The Fallen Idol,1950
Best Original Score - Motion Picture,Johnny Green,1950
Best Original Score - Motion Picture,George Duning,1950
Promoting International Understanding,Vincent Sherman,1950
Promoting International Understanding,Maurice Cloche,1950
New Star Of The Year - Actress,Mercedes McCambridge,1950
New Star Of The Year - Actress,Ruth Roman,1950
New Star Of The Year - Actor,Richard Todd,1950
