Save Mart Center,"Fresno, California, United States",9-Dec-18,https://www.metallica.com/events/event-36824.html
Golden 1 Center,"Sacramento, California, United States",7-Dec-18,https://www.metallica.com/events/event-36823.html
Moda Center,"Portland, Oregon, United States",5-Dec-18,https://www.metallica.com/events/event-36822.html
Spokane Arena,"Spokane, Washington, United States",2-Dec-18,https://www.metallica.com/events/event-36821.html
Vivint Smart Home Arena,"Salt Lake City, Utah, United States",30-Nov-18,https://www.metallica.com/events/event-36820.html
Taco Bell Arena,"Boise, Idaho, United States",28-Nov-18,https://www.metallica.com/events/event-36819.html
T-Mobile Arena,"Las Vegas, Nevada, United States",26-Nov-18,https://www.metallica.com/events/event-36818.html
The Masonic,"San Francisco, California, United States",3-Nov-18,https://www.metallica.com/events/2018-11-03-san-francisco-awmh-benefit.html
Times Union Center,"Albany, New York, United States",29-Oct-18,https://www.metallica.com/events/event-36817.html
Keybank Center,"Buffalo, New York, United States",27-Oct-18,https://www.metallica.com/events/event-36816.html
Wells Fargo Center,"Philadelphia, Pennsylvania, United States",25-Oct-18,https://www.metallica.com/events/event-39651.html
Spectrum Center,"Charlotte, North Carolina, United States",22-Oct-18,https://www.metallica.com/events/event-36815.html
Bryce Jordan Center,"State College, Pennsylvania, United States",20-Oct-18,https://www.metallica.com/events/event-36814.html
Ppg Paints Arena,"Pittsburgh, Pennsylvania, United States",18-Oct-18,https://www.metallica.com/events/event-36813.html
Fiserv Forum,"Milwaukee, Wisconsin, United States",16-Oct-18,https://www.metallica.com/events/event-36812.html
Zilker Park,"Austin, Texas, United States",13-Oct-18,https://www.metallica.com/events/event-39357.html
Zilker Park,"Austin, Texas, United States",6-Oct-18,https://www.metallica.com/events/event-39356.html
City Hall At Civic Center Plaza,"San Francisco, California, United States",26-Sep-18,https://www.metallica.com/events/2018-09-26-san-francisco.html
Sasktel Centre,"Saskatoon, Saskatchewan, Canada",15-Sep-18,https://www.metallica.com/events/event-36811.html
Bell Mts Place,"Winnipeg, Manitoba, Canada",13-Sep-18,https://www.metallica.com/events/event-36810.html
Denny Sanford Premier Center,"Sioux Falls, South Dakota, United States",11-Sep-18,https://www.metallica.com/events/event-36809.html
Alerus Center,"Grand Forks, North Dakota, United States",8-Sep-18,https://www.metallica.com/events/event-36808.html
Pinnacle Bank Arena,"Lincoln, Nebraska, United States",6-Sep-18,https://www.metallica.com/events/event-36807.html
Target Center,"Minneapolis, Minnesota, United States",4-Sep-18,https://www.metallica.com/events/event-36806.html
Kohl Center,"Madison, Wisconsin, United States",2-Sep-18,https://www.metallica.com/events/event-36805.html
Hartwall Arena,"Helsinki, Finland",11-May-18,https://www.metallica.com/events/event-30843.html
Hartwall Arena,"Helsinki, Finland",9-May-18,https://www.metallica.com/events/event-30842.html
Ericsson Globe,"Stockholm, Sweden",7-May-18,https://www.metallica.com/events/event-30841.html
Ericsson Globe,"Stockholm, Sweden",5-May-18,https://www.metallica.com/events/event-30840.html
Telenor Arena,"Oslo, Norway",2-May-18,https://www.metallica.com/events/event-30839.html
Arena Leipzig,"Leipzig, Germany",30-Apr-18,https://www.metallica.com/events/event-30838.html
Tauron Arena,"Kraków, Poland",28-Apr-18,https://www.metallica.com/events/event-30837.html
Olympiahalle,"Munich, Germany",26-Apr-18,https://www.metallica.com/events/event-30836.html
Metallica Night With The San Francisco Giants At At&T Park,"San Francisco, California, United States",23-Apr-18,https://www.metallica.com/events/event-36616.html
Palexpo,"Geneva, Switzerland",11-Apr-18,https://www.metallica.com/events/event-30835.html
Schleyerhalle,"Stuttgart, Germany",9-Apr-18,https://www.metallica.com/events/event-30834.html
Schleyerhalle,"Stuttgart, Germany",7-Apr-18,https://www.metallica.com/events/event-30833.html
Sports Arena,"Budapest, Hungary",5-Apr-18,https://www.metallica.com/events/event-30832.html
O2 Arena,"Prague, Czech Republic",2-Apr-18,https://www.metallica.com/events/event-30831.html
Wiener Stadthalle,"Vienna, Austria",31-Mar-18,https://www.metallica.com/events/event-30830.html
Barclaycard Arena,"Hamburg, Germany",29-Mar-18,https://www.metallica.com/events/event-30829.html
Jyske Bank Boxen,"Herning, Denmark",27-Mar-18,https://www.metallica.com/events/event-30828.html
Sap Arena,"Mannheim, Germany",16-Feb-18,https://www.metallica.com/events/event-30827.html
Unipol Arena,"Bologna, Italy",14-Feb-18,https://www.metallica.com/events/event-30826.html
Unipol Arena,"Bologna, Italy",12-Feb-18,https://www.metallica.com/events/event-30825.html
Pala Alpitour,"Turin, Italy",10-Feb-18,https://www.metallica.com/events/event-30824.html
Palau Sant Jordi,"Barcelona, Spain",7-Feb-18,https://www.metallica.com/events/event-30823.html
Wizink Center,"Madrid, Spain",5-Feb-18,https://www.metallica.com/events/event-30822.html
Wizink Center,"Madrid, Spain",3-Feb-18,https://www.metallica.com/events/event-30821.html
Altice Arena,"Lisbon, Portugal",1-Feb-18,https://www.metallica.com/events/event-30820.html
At&T Park,"San Francisco, California, United States",9-Nov-17,https://www.metallica.com/events/event-34242.html
Sportpaleis,"Antwerp, Belgium",3-Nov-17,https://www.metallica.com/events/event-30819.html
Sportpaleis,"Antwerp, Belgium",1-Nov-17,https://www.metallica.com/events/event-30818.html
Genting Arena,"Birmingham, England",30-Oct-17,https://www.metallica.com/events/event-30817.html
Manchester Arena,"Manchester, England",28-Oct-17,https://www.metallica.com/events/event-30816.html
The Sse Hydro,"Glasgow, Scotland, Scotland",26-Oct-17,https://www.metallica.com/events/event-30815.html
The O2 Arena,"London, England",24-Oct-17,https://www.metallica.com/events/event-30814.html
The O2 Arena,"London, England",22-Oct-17,https://www.metallica.com/events/event-30813.html
Lanxess Arena,"Cologne, Germany",16-Sep-17,https://www.metallica.com/events/event-30812.html
Lanxess Arena,"Cologne, Germany",14-Sep-17,https://www.metallica.com/events/event-30811.html
Halle Tony Garnier,"Lyon, France",12-Sep-17,https://www.metallica.com/events/event-30810.html
Accorhotels Arena,"Paris, France",10-Sep-17,https://www.metallica.com/events/event-30809.html
Accorhotels Arena,"Paris, France",8-Sep-17,https://www.metallica.com/events/event-30808.html
Ziggo Dome,"Amsterdam, Netherlands",6-Sep-17,https://www.metallica.com/events/event-30807.html
Ziggo Dome,"Amsterdam, Netherlands",4-Sep-17,https://www.metallica.com/events/event-30806.html
Royal Arena,"Copenhagen, Denmark",2-Sep-17,https://www.metallica.com/events/event-30429.html
Commonwealth Stadium,"Edmonton, Alberta, Canada",16-Aug-17,https://www.metallica.com/events/event-30547.html
Bc Place,"Vancouver, British Columbia, Canada",14-Aug-17,https://www.metallica.com/events/event-30546.html
Outside Lands At Golden Gate Park,"San Francisco, California, United States",12-Aug-17,https://www.metallica.com/events/event-31202.html
Centurylink Field,"Seattle, Washington, United States",9-Aug-17,https://www.metallica.com/events/event-30545.html
Metallica Night With The San Francisco Giants At At&T Park,"San Francisco, California, United States",7-Aug-17,https://www.metallica.com/events/event-30471.html
Petco Park,"San Diego, California, United States",6-Aug-17,https://www.metallica.com/events/event-30544.html
University Of Phoenix Stadium,"Phoenix, Arizona, United States",4-Aug-17,https://www.metallica.com/events/event-30543.html
Rose Bowl,"Pasadena, California, United States",29-Jul-17,https://www.metallica.com/events/event-30542.html
Parc Jean-Drapeau,"Montreal, Quebec, Canada",19-Jul-17,https://www.metallica.com/events/event-30541.html
Rogers Centre,"Toronto, Ontario, Canada",16-Jul-17,https://www.metallica.com/events/event-30540.html
Festival D'Été De Québec,"Quebec City, Quebec, Canada",14-Jul-17,https://www.metallica.com/events/event-30539.html
Comerica Park,"Detroit, Michigan, United States",12-Jul-17,https://www.metallica.com/events/event-30538.html
Suntrust Park,"Atlanta, Georgia, United States",9-Jul-17,https://www.metallica.com/events/event-30537.html
Hard Rock Stadium,"Miami, Florida, United States",7-Jul-17,https://www.metallica.com/events/event-30536.html
Camping World Stadium,"Orlando, Florida, United States",5-Jul-17,https://www.metallica.com/events/event-30535.html
Soldier Field,"Chicago, Illinois, United States",18-Jun-17,https://www.metallica.com/events/event-30534.html
At&T Stadium,"Dallas, Texas, United States",16-Jun-17,https://www.metallica.com/events/event-30533.html
Alamodome,"San Antonio, Texas, United States",14-Jun-17,https://www.metallica.com/events/event-30532.html
Nrg Stadium,"Houston, Texas, United States",11-Jun-17,https://www.metallica.com/events/event-30531.html
Iowa Speedway,"Newton, Iowa, United States",9-Jun-17,https://www.metallica.com/events/event-31275.html
Sports Authority Field At Mile High,"Denver, Colorado, United States",7-Jun-17,https://www.metallica.com/events/event-30530.html
Busch Stadium,"St. Louis, Missouri, United States",4-Jun-17,https://www.metallica.com/events/event-30528.html
Mapfre Stadium,"Columbus, Ohio, United States",21-May-17,https://www.metallica.com/events/event-28278.html
Gillette Stadium,"Foxborough, Massachusetts, United States",19-May-17,https://www.metallica.com/events/event-30526.html
The New Coliseum Presented By Nycb,"Uniondale, New York, United States",17-May-17,https://www.metallica.com/events/event-30525.html
The Late Show With Stephen Colbert At Ed Sullivan Theater,"New York, New York, United States",15-May-17,https://www.metallica.com/events/event-31449.html
Metlife Stadium,"East Rutherford, New Jersey, United States",14-May-17,https://www.metallica.com/events/event-30523.html
Lincoln Financial Field,"Philadelphia, Pennsylvania, United States",12-May-17,https://www.metallica.com/events/event-30522.html
M&T Bank Stadium,"Baltimore, Maryland, United States",10-May-17,https://www.metallica.com/events/event-30520.html
Parque O’Higgins,"Santiago, Chile",1-Apr-17,https://www.metallica.com/events/event-26059.html
Hippodrome San Isidro,"Buenos Aires, Argentina",31-Mar-17,https://www.metallica.com/events/event-26058.html
Interlagos Racetrack,"São Paulo, Brazil",25-Mar-17,https://www.metallica.com/events/event-26057.html
Foro Sol,"Mexico City, Mexico",5-Mar-17,https://www.metallica.com/events/event-29037.html
Foro Sol,"Mexico City, Mexico",3-Mar-17,https://www.metallica.com/events/event-28270.html
Foro Sol,"Mexico City, Mexico",1-Mar-17,https://www.metallica.com/events/event-27827.html
Hollywood Palladium,"Los Angeles, California, United States",12-Feb-17,https://www.metallica.com/events/event-30409.html
Staples Center,"Los Angeles, California, United States",12-Feb-17,https://www.metallica.com/events/event-30346.html
Royal Arena,"Copenhagen, Denmark",9-Feb-17,https://www.metallica.com/events/event-26062.html
Royal Arena,"Copenhagen, Denmark",7-Feb-17,https://www.metallica.com/events/event-26061.html
Royal Arena,"Copenhagen, Denmark",5-Feb-17,https://www.metallica.com/events/event-26052.html
Royal Arena,"Copenhagen, Denmark",3-Feb-17,https://www.metallica.com/events/event-26051.html
Singapore Indoor Stadium,"Singapore, Singapore",22-Jan-17,https://www.metallica.com/events/event-27690.html
Asiaworld-Expo,"Chek Lap Kok, Hong Kong",20-Jan-17,https://www.metallica.com/events/event-26169.html
Le Sports Center,"Beijing, China",18-Jan-17,https://www.metallica.com/events/event-27818.html
Mercedes-Benz Arena,"Shanghai, China",15-Jan-17,https://www.metallica.com/events/event-29097.html
Gocheok Sky Dome,"Seoul, South Korea",11-Jan-17,https://www.metallica.com/events/event-26153.html
The Fox Theater,"Oakland, California, United States",17-Dec-16,https://www.metallica.com/events/event-27820.html
