Boyz II Men,End of the Road,1992
Sir Mix-a-Lot,Baby Got Back,1992
Kris Kross,Jump,1992
Vanessa Williams,Save the Best for Last,1992
TLC,Baby-Baby-Baby,1992
Eric Clapton,Tears in Heaven,1992
En Vogue,My Lovin' (You're Never Gonna Get It),1992
Red Hot Chili Peppers,Under the Bridge,1992
Color Me Badd,All 4 Love,1992
Jon Secada,Just Another Day,1992
Shanice,I Love Your Smile,1992
Mr. Big,To Be with You,1992
Right Said Fred,I'm Too Sexy,1992
Michael Jackson,Black or White,1992
Billy Ray Cyrus,Achy Breaky Heart,1992
Mariah Carey,I'll Be There,1992
Guns N' Roses,November Rain,1992
Tom Cochrane,Life Is a Highway,1992
Michael Jackson,Remember the Time,1992
CeCe Peniston,Finally,1992
Madonna,This Used to Be My Playground,1992
Patty Smyth and Don Henley,Sometimes Love Just Ain't Enough,1992
Mariah Carey,Can't Let Go,1992
House of Pain,Jump Around,1992
Prince and The New Power Generation,Diamonds and Pearls,1992
George Michael and Elton John,Don't Let the Sun Go Down on Me,1992
Atlantic Starr,Masterpiece,1992
Celine Dion,If You Asked Me To,1992
En Vogue,Giving Him Something He Can Feel,1992
Joe Public,Live and Learn,1992
Jodeci,Come and Talk to Me,1992
Nirvana,Smells Like Teen Spirit,1992
Bobby Brown,Humpin' Around,1992
Sophie B. Hawkins,Damn I Wish I Was Your Lover,1992
Tevin Campbell,Tell Me What You Want Me to Do,1992
TLC,Ain't 2 Proud 2 Beg,1992
Boyz II Men,It's So Hard to Say Goodbye to Yesterday,1992
Technotronic featuring Ya Kid K,Move This,1992
Queen,Bohemian Rhapsody,1992
Arrested Development,Tennessee,1992
Luther Vandross and Janet Jackson,The Best Things in Life Are Free,1992
Mariah Carey,Make It Happen,1992
Elton John,The One,1992
P.M. Dawn,Set Adrift on Memory Bliss,1992
Shakespears Sister,Stay,1992
Hammer,2 Legit 2 Quit,1992
KWS,Please Don't Go,1992
Mint Condition,Breakin' My Heart (Pretty Brown Eyes),1992
The Cover Girls,Wishing on a Star,1992
Hi-Five,She's Playing Hard to Get,1992
P.M. Dawn,I'd Die Without You,1992
Amy Grant,Good for Me,1992
Toad the Wet Sprocket,All I Want,1992
Michael Bolton,When a Man Loves a Woman,1992
Genesis,I Can't Dance,1992
Richard Marx,Hazard,1992
U2,Mysterious Ways,1992
George Michael,Too Funky,1992
The Heights,How Do You Talk to an Angel,1992
U2,One,1992
CeCe Peniston,Keep on Walkin',1992
Genesis,Hold on My Heart,1992
Karyn White,The Way I Feel About You,1992
Celine Dion and Peabo Bryson,Beauty and the Beast,1992
Kris Kross,Warm It Up,1992
Michael Jackson,In the Closet,1992
Arrested Development,People Everyday,1992
Genesis,No Son of Mine,1992
Marky Mark and the Funky Bunch,Wildside,1992
Bryan Adams,Do I Have to Say the Words?,1992
The Cure,Friday I'm in Love,1992
Ugly Kid Joe,Everything About You,1992
Paula Abdul,Blowing Kisses in the Wind,1992
Bryan Adams,Thought I'd Died and Gone to Heaven,1992
Snap!,Rhythm Is a Dancer,1992
Hammer,Addams Groove,1992
Michael Bolton,Missing You Now,1992
N2Deep,Back to the Hotel,1992
Kathy Troccoli,Everything Changes,1992
Def Leppard,Have You Ever Needed Someone So Bad,1992
Richard Marx,Take This Heart,1992
FireHouse,When I Look Into Your Eyes,1992
Jade,I Wanna Love You,1992
Boyz II Men,Uhh Ahh,1992
Mary J. Blige,Real Love,1992
The KLF,Justified and Ancient,1992
Color Me Badd,Slow Motion,1992
TLC,What About Your Friends,1992
Color Me Badd,Thinkin' Back,1992
Charles & Eddie,Would I Lie to You?,1992
Amy Grant,That's What Love Is For,1992
Richard Marx,Keep Coming Back,1992
En Vogue,Free Your Mind,1992
Keith Sweat,Keep It Comin',1992
Mr. Big,Just Take My Heart,1992
Amy Grant,I Will Remember You,1992
CeCe Peniston,We Got a Love Thang,1992
Def Leppard,Let's Get Rocked,1992
Das EFX,They Want EFX,1992
Bonnie Raitt,I Can't Make You Love Me,1992
Whitney Houston,I Will Always Love You,1993
Tag Team,Whoomp! (There It Is),1993
UB40,Can't Help Falling in Love,1993
Janet Jackson,That's the Way Love Goes,1993
Silk,Freak Me,1993
SWV,Weak,1993
Shai,If I Ever Fall in Love,1993
Mariah Carey,Dreamlover,1993
Wreckx-n-Effect,Rump Shaker,1993
Snow,Informer,1993
Dr. Dre,Nuthin' but a 'G' Thang,1993
Boyz II Men,In the Still of the Nite,1993
Jade,Don't Walk Away,1993
H-Town,Knockin' da Boots,1993
Jodeci,Lately,1993
